time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
557197313.265,960.714111328125,419.93067741394043,2.1881561279296875,True,978.3761215209961,407.62815713882446,2.46746826171875,True,
557197329.881,928.7515640258789,377.6968288421631,2.2664794921875,True,984.7362899780273,418.6834502220154,2.46954345703125,True,
557197346.543,940.81787109375,430.58473348617554,2.2934722900390625,True,989.249153137207,417.01393604278564,2.46478271484375,True,
557197363.25,944.9732208251953,382.4190402030945,2.3481292724609375,True,987.2959899902344,414.6725606918335,2.45904541015625,True,
557197379.873,939.1239738464355,430.91702699661255,2.15380859375,True,983.5946273803711,414.86052989959717,2.4222259521484375,True,
557197396.538,945.2374649047852,372.6714849472046,2.2479095458984375,True,989.3320083618164,446.1255383491516,2.4246978759765625,True,
557197413.256,980.0596618652344,421.7497944831848,2.1400604248046875,True,996.6771697998047,425.93584299087524,2.340362548828125,True,
557197429.875,939.5759582519531,377.92908668518066,2.1922760009765625,True,992.4211120605469,414.1933035850525,2.4568328857421875,True,
557197446.54,930.6661033630371,400.8046817779541,2.1811981201171875,True,976.2615966796875,417.6733088493347,2.454742431640625,True,
557197463.164,949.0446281433105,419.1674065589905,2.1881103515625,True,981.8039703369141,404.23717975616455,2.4334564208984375,True,
557197479.82,960.8357620239258,390.2242684364319,2.2762451171875,True,993.8765716552734,434.08791303634644,2.3728790283203125,True,
557197496.485,957.9769134521484,419.6838712692261,2.113555908203125,True,983.1329727172852,419.19618129730225,2.43878173828125,True,
557197513.157,944.3122100830078,401.3161897659302,2.2557830810546875,True,977.8897476196289,369.22006130218506,2.4791412353515625,True,
557197529.809,958.114185333252,417.27998971939087,2.033111572265625,True,978.7505722045898,397.1072244644165,2.447479248046875,True,
557197546.481,983.0976104736328,404.95983123779297,2.211151123046875,True,976.8977737426758,411.3329529762268,2.4332122802734375,True,
557197563.178,962.9537200927734,416.1046028137207,2.191375732421875,True,980.8543395996094,393.4454298019409,2.4439239501953125,True,
557197579.806,935.094165802002,384.7395586967468,2.2522430419921875,True,1031.1668014526367,458.0060291290283,2.171051025390625,True,
557197596.469,953.9070510864258,412.22773790359497,2.13323974609375,True,946.9635772705078,384.1002058982849,2.5167999267578125,True,
557197613.141,944.3558120727539,370.46870470046997,2.19580078125,True,948.2097816467285,416.53448581695557,2.458465576171875,True,
557197629.801,946.1898994445801,421.87686681747437,2.1463775634765625,True,968.6417770385742,396.6486954689026,2.4993896484375,True,
557197646.463,942.1783447265625,396.75748586654663,2.1773223876953125,True,960.1860809326172,438.03861379623413,2.4289703369140625,True,
557197663.125,947.8228569030762,414.67597246170044,2.007720947265625,True,973.5034561157227,426.7155933380127,2.4692535400390625,True,
557197679.794,924.2292022705078,406.24568223953247,2.1549072265625,True,957.9061317443848,405.4502248764038,2.469390869140625,True,
557197696.458,942.0571517944336,414.1302180290222,2.1328125,True,969.8049545288086,417.7226185798645,2.378509521484375,True,
557197713.116,972.4651336669922,409.0455222129822,2.1986083984375,True,959.3843650817871,408.25135231018066,2.4825592041015625,True,
557197729.781,946.5901565551758,419.267635345459,2.1600189208984375,True,965.7821273803711,403.6930990219116,2.4471282958984375,True,
557197746.452,,,,False,969.0280151367188,410.31676054000854,2.4090576171875,True,
557197763.104,952.8421783447266,389.77018117904663,2.1517333984375,True,955.876636505127,385.03915071487427,2.47296142578125,True,
557197779.777,959.9474716186523,443.4815454483032,2.0033111572265625,True,950.3798675537109,424.9217748641968,2.3790130615234375,True,
557197796.438,957.279052734375,400.7399868965149,2.1759490966796875,True,966.8594741821289,408.67544174194336,2.4439544677734375,True,
557197813.109,952.8962516784668,413.0127024650574,1.9779052734375,True,965.4366302490234,432.0597767829895,2.4673309326171875,True,
557197829.769,961.4616394042969,428.20878982543945,2.030181884765625,True,975.4004287719727,435.42391061782837,2.358489990234375,True,
557197846.437,943.6640739440918,427.6438522338867,2.2217559814453125,True,978.6698913574219,430.8328914642334,2.3169403076171875,True,
557197863.099,927.1650695800781,422.7984952926636,2.1227264404296875,True,957.3311233520508,380.7597613334656,2.4817657470703125,True,
557197879.759,943.5983848571777,417.29994535446167,2.1485443115234375,True,949.310474395752,414.57664489746094,2.4209442138671875,True,
557197896.428,955.634651184082,444.26753997802734,2.087432861328125,True,974.0103149414062,415.2053117752075,2.3984527587890625,True,
557197913.091,956.1712646484375,407.28150844573975,2.129150390625,True,990.4299545288086,413.7881398200989,2.4101409912109375,True,
557197929.752,956.3903617858887,414.1250681877136,2.1049041748046875,True,953.1068229675293,376.67381286621094,2.51751708984375,True,
557197946.421,943.4521293640137,409.9527955055237,2.0202484130859375,True,972.2230911254883,425.2113890647888,2.4771881103515625,True,
557197963.131,954.9365615844727,395.11571645736694,2.0915679931640625,True,988.0339050292969,434.4928193092346,2.3160552978515625,True,
557197979.834,952.8725051879883,414.03449535369873,2.068603515625,True,970.8168411254883,411.63827419281006,2.4333648681640625,True,
557197996.501,978.9233779907227,401.46849632263184,2.0775909423828125,True,950.2251434326172,436.4252972602844,2.4220733642578125,True,
